rank_date,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation
08-08-1993,1,Germany,GER,0,57,0,UEFA
08-08-1993,2,Italy,ITA,0,57,0,UEFA
08-08-1993,3,Switzerland,SUI,0,50,9,UEFA
08-08-1993,4,Sweden,SWE,0,55,0,UEFA
08-08-1993,5,Argentina,ARG,0,51,5,CONMEBOL
08-08-1993,6,Republic of Ireland,IRL,0,54,0,UEFA
08-08-1993,7,Russia,RUS,0,52,1,UEFA
08-08-1993,8,Brazil,BRA,0,55,-5,CONMEBOL
08-08-1993,9,Norway,NOR,0,49,5,UEFA
08-08-1993,10,Denmark,DEN,0,51,-1,UEFA
08-08-1993,11,England,ENG,0,55,-6,UEFA
08-08-1993,12,France,FRA,0,45,7,UEFA
08-08-1993,13,Spain,ESP,0,49,2,UEFA
08-08-1993,14,Mexico,MEX,0,42,11,CONCACAF
08-08-1993,15,RCS,TCH,0,47,3,UEFA
08-08-1993,16,Netherlands,NED,0,53,-9,UEFA
08-08-1993,17,Nigeria,NGA,0,49,-4,CAF
08-08-1993,18,Belgium,BEL,0,47,-1,UEFA
08-08-1993,19,Colombia,COL,0,36,16,CONMEBOL
08-08-1993,20,Poland,POL,0,45,0,UEFA
08-08-1993,21,Romania,ROU,0,51,-10,UEFA
08-08-1993,22,Uruguay,URU,0,47,-6,CONMEBOL
08-08-1993,23,Portugal,POR,0,38,10,UEFA
08-08-1993,24,Cameroon,CMR,0,43,-2,CAF
08-08-1993,25,Zambia,ZAM,0,38,7,CAF
08-08-1993,26,Egypt,EGY,0,44,-5,CAF
08-08-1993,27,Wales,WAL,0,40,1,UEFA
08-08-1993,28,USA,USA,0,43,-4,CONCACAF
08-08-1993,29,Ivory Coast,CIV,0,41,-2,CAF
08-08-1993,30,Scotland,SCO,0,43,-7,UEFA
08-08-1993,31,Tunisia,TUN,0,35,7,CAF
08-08-1993,32,Greece,GRE,0,38,-1,UEFA
08-08-1993,33,Morocco,MAR,0,32,8,CAF
08-08-1993,34,Algeria,ALG,0,38,-4,CAF
08-08-1993,35,Ecuador,ECU,0,23,30,CONMEBOL
08-08-1993,36,Korea Republic,KOR,0,27,13,AFC
08-08-1993,37,Bulgaria,BUL,0,41,-11,UEFA
08-08-1993,38,Austria,AUT,0,38,-4,UEFA
08-08-1993,39,Costa Rica,CRC,0,35,-2,CONCACAF
08-08-1993,40,Northern Ireland,NIR,0,31,3,UEFA
08-08-1993,41,Honduras,HON,0,32,-1,CONCACAF
08-08-1993,42,Hungary,HUN,0,35,-6,UEFA
08-08-1993,43,Japan,JPN,0,22,23,AFC
08-08-1993,44,Saudi Arabia,KSA,0,27,4,AFC
08-08-1993,45,China PR,CHN,0,26,11,AFC
08-08-1993,46,Canada,CAN,0,25,11,CONCACAF
08-08-1993,47,Finland,FIN,0,30,-3,UEFA
08-08-1993,48,Ghana,GHA,0,34,-9,CAF
08-08-1993,49,Chile,CHI,0,28,-2,CONMEBOL
08-08-1993,50,Zimbabwe,ZIM,0,27,4,CAF
08-08-1993,51,Qatar,QAT,0,27,1,AFC
08-08-1993,52,Australia,AUS,0,29,-7,AFC
08-08-1993,53,Iceland,ISL,0,29,-7,UEFA
08-08-1993,54,IR Iran,IRN,0,24,7,AFC
08-08-1993,55,United Arab Emirates,UAE,0,24,4,AFC
08-08-1993,56,Yugoslavia,YUG,0,39,-27,UEFA
08-08-1993,57,Iraq,IRQ,0,14,25,AFC
08-08-1993,58,Senegal,SEN,0,27,-7,CAF
08-08-1993,59,Bolivia,BOL,0,13,28,CONMEBOL
08-08-1993,60,Kuwait,KUW,0,21,11,AFC
08-08-1993,61,Korea DPR,PRK,0,16,16,AFC
08-08-1993,62,El Salvador,SLV,0,27,-12,CONCACAF
08-08-1993,63,Turkey,TUR,0,31,-21,UEFA
08-08-1993,64,Gabon,GAB,0,26,-9,CAF
08-08-1993,65,Guinea,GUI,0,23,-2,CAF
08-08-1993,66,Thailand,THA,0,17,9,AFC
08-08-1993,67,Paraguay,PAR,0,22,1,CONMEBOL
08-08-1993,68,Malawi,MWI,0,27,-15,CAF
08-08-1993,69,Israel,ISR,0,23,-5,UEFA
08-08-1993,70,Peru,PER,0,16,8,CONMEBOL
08-08-1993,71,Zaire,ZAI,0,24,-11,CAF
08-08-1993,72,Cyprus,CYP,0,20,0,UEFA
08-08-1993,73,Singapore,SIN,0,12,16,AFC
08-08-1993,74,Mali,MLI,0,21,-5,CAF
08-08-1993,75,Malaysia,MAS,0,12,16,AFC
08-08-1993,76,Bermuda,BER,0,25,-18,CONCACAF
08-08-1993,77,Niger,NIG,0,15,4,CAF
08-08-1993,78,Syria,SYR,0,11,18,AFC
08-08-1993,79,Bahrain,BHR,0,13,9,AFC
08-08-1993,80,New Zealand,NZL,0,21,-10,OFC
08-08-1993,81,Madagascar,MAD,0,17,-7,CAF
08-08-1993,82,Malta,MLT,0,18,-9,UEFA
08-08-1993,83,Jamaica,JAM,0,22,-16,CONCACAF
08-08-1993,84,Lithuania,LTU,0,11,9,UEFA
08-08-1993,85,Trinidad and Tobago,TRI,0,24,-23,CONCACAF
08-08-1993,86,Sierra Leone,SLE,0,16,-7,CAF
08-08-1993,87,Jordan,JOR,0,7,23,AFC
08-08-1993,88,Kenya,KEN,0,17,-12,CAF
08-08-1993,89,Latvia,LVA,0,10,10,UEFA
08-08-1993,90,Yemen,YEM,0,6,25,AFC
08-08-1993,91,Tanzania,TAN,0,15,-11,CAF
08-08-1993,92,Albania,ALB,0,14,-6,UEFA
08-08-1993,93,Angola,ANG,0,10,9,CAF
08-08-1993,94,Venezuela,VEN,0,4,31,CONMEBOL
08-08-1993,95,Ethiopia,ETH,0,14,-10,CAF
08-08-1993,96,Burundi,BDI,0,10,4,CAF
08-08-1993,97,Oman,OMA,0,6,19,AFC
08-08-1993,98,Indonesia,IDN,0,9,10,AFC
08-08-1993,99,Liberia,LBR,0,14,-15,CAF
08-08-1993,100,Mozambique,MOZ,0,9,7,CAF
08-08-1993,101,Puerto Rico,PUR,0,4,21,CONCACAF
08-08-1993,102,Swaziland,SWZ,0,9,2,CAF
08-08-1993,103,Hong Kong,HKG,0,5,16,AFC
08-08-1993,104,Uganda,UGA,0,12,-12,CAF
08-08-1993,105,Barbados,BRB,0,6,9,CONCACAF
08-08-1993,106,Myanmar,MYA,0,0,46,AFC
08-08-1993,107,Congo,CGO,0,12,-17,CAF
08-08-1993,108,Lebanon,LIB,0,0,53,AFC
08-08-1993,109,South Africa,RSA,0,4,15,CAF
08-08-1993,110,Luxembourg,LUX,0,9,-7,UEFA
08-08-1993,111,Faroe Islands,FRO,0,11,-17,UEFA
08-08-1993,112,Guatemala,GUA,0,14,-29,CONCACAF
08-08-1993,113,Burkina Faso,BFA,0,11,-16,CAF
08-08-1993,114,Togo,TOG,0,10,-13,CAF
08-08-1993,115,Suriname,SUR,0,11,-20,CONCACAF
08-08-1993,116,Fiji,FIJ,0,9,-10,OFC
08-08-1993,117,Croatia,CRO,0,6,-4,UEFA
08-08-1993,118,Estonia,EST,0,3,14,UEFA
08-08-1993,119,San Marino,SMR,0,4,7,UEFA
08-08-1993,120,Bangladesh,BAN,0,3,13,AFC
08-08-1993,121,St Vincent and the Grenadines,VIN,0,9,-16,CONCACAF
08-08-1993,122,Netherlands Antilles,ANT,0,11,-24,CONCACAF
08-08-1993,123,Mauritius,MRI,0,7,-11,CAF
08-08-1993,124,Benin,BEN,0,4,3,CAF
08-08-1993,125,Panama,PAN,0,5,-5,CONCACAF
08-08-1993,126,Sudan,SDN,0,7,-15,CAF
08-08-1993,127,Antigua and Barbuda,ATG,0,8,-18,CONCACAF
08-08-1993,128,Slovenia,SVN,0,3,3,UEFA
08-08-1993,129,India,IND,0,1,14,AFC
08-08-1993,130,Belarus,BLR,0,1,16,UEFA
08-08-1993,131,Ukraine,UKR,0,3,-2,UEFA
08-08-1993,132,Vietnam,VIE,0,0,0,AFC
08-08-1993,133,Guinea-Bissau,GNB,0,5,-16,CAF
08-08-1993,134,Guyana,GUY,0,3,-6,CONCACAF
08-08-1993,135,Botswana,BOT,0,2,4,CAF
08-08-1993,136,St Lucia,LCA,0,5,-18,CONCACAF
08-08-1993,137,Tahiti,TAH,0,4,-14,OFC
08-08-1993,138,Grenada,GRN,0,4,-17,CONCACAF
08-08-1993,139,Haiti,HAI,0,3,-9,CONCACAF
08-08-1993,140,Libya,LBY,0,2,-3,CAF
08-08-1993,141,Laos,LAO,0,0,0,AFC
08-08-1993,142,Mauritania,MTN,0,2,-8,CAF
08-08-1993,143,Cape Verde Islands,CPV,0,2,-8,CAF
08-08-1993,144,Solomon Islands,SOL,0,2,-8,OFC
08-08-1993,145,Brunei Darussalam,BRU,0,2,-5,AFC
08-08-1993,146,Lesotho,LES,0,1,-4,CAF
08-08-1993,148,Dominican Republic,DOM,0,1,-7,CONCACAF
08-08-1993,149,Pakistan,PAK,0,1,-4,AFC
08-08-1993,150,Nicaragua,NCA,0,0,4,CONCACAF
08-08-1993,151,Cuba,CUB,0,1,-7,CONCACAF
08-08-1993,152,Seychelles,SEY,0,0,-5,CAF
08-08-1993,153,Central African Republic,CTA,0,0,-5,CAF
08-08-1993,154,Gambia,GAM,0,0,-4,CAF
08-08-1993,155,Namibia,NAM,0,0,3,CAF
08-08-1993,156,Cayman Islands,CAY,0,0,0,CONCACAF
08-08-1993,157,Nepal,NEP,0,0,-8,AFC
08-08-1993,158,Liechtenstein,LIE,0,0,-5,UEFA
08-08-1993,159,Equatorial Guinea,EQG,0,0,-8,CAF
08-08-1993,160,Chinese Taipei,TPE,0,0,-4,AFC
08-08-1993,161,Sri Lanka,SRI,0,0,0,AFC
08-08-1993,162,Philippines,PHI,0,0,-5,AFC
