group,team,player,position
A,Brazil,Alisson,GK
A,Brazil,Thiago Silva,DF
A,Brazil,Miranda,DF
A,Brazil,Marquinhos,DF
A,Brazil,Casemiro,MF
A,Brazil,Filipe Luís,DF
A,Brazil,David Neres,FW
A,Brazil,Arthur,MF
A,Brazil,Gabriel Jesus,FW
A,Brazil,Willian,MF
A,Brazil,Philippe Coutinho,MF
A,Brazil,Alex Sandro,DF
A,Brazil,Dani Alves,DF
A,Brazil,Éder Militão,DF
A,Brazil,Allan,MF
A,Brazil,Cássio,GK
A,Brazil,Fernandinho,MF
A,Brazil,Lucas Paquetá,MF
A,Brazil,Everton,FW
A,Brazil,Roberto Firmino,FW
A,Brazil,Richarlison,FW
A,Brazil,Fagner,DF
A,Brazil,Ederson,GK
A,Bolivia,Carlos Lampe,GK
A,Bolivia,Saúl Torres,DF
A,Bolivia,Alejandro Chumacero,MF
A,Bolivia,Luis Haquin,DF
A,Bolivia,Mario Cuéllar,DF
A,Bolivia,Erwin Saavedra,MF
A,Bolivia,Leonel Justiniano,MF
A,Bolivia,Diego Bejarano,DF
A,Bolivia,Marcelo Martins,FW
A,Bolivia,Samuel Galindo,MF
A,Bolivia,Leonardo Vaca,FW
A,Bolivia,Rubén Cordano,GK
A,Bolivia,José María Carrasco,DF
A,Bolivia,Raúl Castro,MF
A,Bolivia,Paul Arano,MF
A,Bolivia,Diego Wayar,MF
A,Bolivia,Marvin Bejarano,DF
A,Bolivia,Gilbert Álvarez,FW
A,Bolivia,Ramiro Vaca,MF
A,Bolivia,Fernando Saucedo,MF
A,Bolivia,Roberto Fernández,DF
A,Bolivia,Adrián Jusino,DF
A,Bolivia,Javier Rojas,GK
A,Venezuela,Wuilker Faríñez,GK
A,Venezuela,Mikel Villanueva,DF
A,Venezuela,Yordan Osorio,DF
A,Venezuela,Jhon Chancellor,DF
A,Venezuela,Júnior Moreno,MF
A,Venezuela,Yangel Herrera,MF
A,Venezuela,Darwin Machís,MF
A,Venezuela,Tomás Rincón,MF
A,Venezuela,Fernando Aristeguieta,FW
A,Venezuela,Jefferson Savarino,MF
A,Venezuela,Juanpi,MF
A,Venezuela,Joel Graterol,GK
